Tweets,Case_Folding,Data_Cleaning,without_stopwords,Tokenizing,tweet_normalized,stemmed
2 nasi padang lauk ayam sama sayur + es teh cuman 15k 😭 shopeefood aku padamuuu huhuhuu,2 nasi padang lauk ayam sama sayur + es teh cuman 15k 😭 shopeefood aku padamuuu huhuhuu,nasi padang lauk ayam sama sayur es teh cuman k shopeefood aku padamuuu huhuhuu,nasi padang lauk ayam sayur es teh cuman k shopeefood padamuuu huhuhuu,"['nasi', 'padang', 'lauk', 'ayam', 'sayur', 'es', 'teh', 'cuman', 'k', 'shopeefood', 'padamuuu', 'huhuhuu']",nasi padang lauk ayam sayur es teh hanya k shopeefood padamuuu huhuhuu,"['nasi', 'padang', 'lauk', 'ayam', 'sayur', 'es', 'teh', 'hanya', 'k', 'shopeefood', 'padamuuu', 'huhuhuu']"
@Mundur41149832 shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan?,@mundur41149832 shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan?,shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan,shopeefood ngakpunya shopepay gabisa dapet voucernya,"['shopeefood', 'ngakpunya', 'shopepay', 'gabisa', 'dapet', 'voucernya']",shopeefood tidak punya shopepay tidak bisa dapat voucernya,"['shopeefood', 'tidak', 'punya', 'shopepay', 'tidak', 'bisa', 'dapat', 'voucernya']"
"Spaghetti Aglio E Olio biasa? bukan! spaghetti masakane simbah sing iki dimasak pake bumbu Roa, cocok nggo ilat indonesia,  dijamin nampolll

Ada di warung mbah sambat. Bisa dine in/take away. Bisa juga pesen lewat GoFood/ShopeeFood. https://t.co/z4FOgTK66V","spaghetti aglio e olio biasa? bukan! spaghetti masakane simbah sing iki dimasak pake bumbu roa, cocok nggo ilat indonesia,  dijamin nampolll

ada di warung mbah sambat. bisa dine in/take away. bisa juga pesen lewat gofood/shopeefood. https://t.co/z4fogtk66v",spaghetti aglio e olio biasa bukan spaghetti masakane simbah sing iki dimasak pake bumbu roa cocok nggo ilat indonesia dijamin nampolll ada di warung mbah sambat bisa dine intake away bisa juga pesen lewat gofoodshopeefood,spaghetti aglio e olio spaghetti masakane simbah sing iki dimasak pake bumbu roa cocok nggo ilat indonesia dijamin nampolll warung mbah sambat dine intake away pesen gofoodshopeefood,"['spaghetti', 'aglio', 'e', 'olio', 'spaghetti', 'masakane', 'simbah', 'sing', 'iki', 'dimasak', 'pake', 'bumbu', 'roa', 'cocok', 'nggo', 'ilat', 'indonesia', 'dijamin', 'nampolll', 'warung', 'mbah', 'sambat', 'dine', 'intake', 'away', 'pesen', 'gofoodshopeefood']",spaghetti aglio e olio spaghetti masakane simbah sing iki dimasak pake bumbu roa cocok nggo ilat indonesia dijamin nampolll warung mbah sambat dine intake away pesan gofoodshopeefood,"['spaghetti', 'aglio', 'e', 'olio', 'spaghetti', 'masakane', 'simbah', 'sing', 'iki', 'masak', 'pake', 'bumbu', 'roa', 'cocok', 'nggo', 'ilat', 'indonesia', 'jamin', 'nampolll', 'warung', 'mbah', 'sambat', 'dine', 'intake', 'away', 'pesan', 'gofoodshopeefood']"
"Ngakak + malu banget, masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk","ngakak + malu banget, masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk",ngakak malu banget masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk,ngakak malu banget pesen shopeefood kirimnya titik udah tutup cabang wkwk,"['ngakak', 'malu', 'banget', 'pesen', 'shopeefood', 'kirimnya', 'titik', 'udah', 'tutup', 'cabang', 'wkwk']",tertawa malu banget pesan shopeefood kirimnya titik udah tutup cabang tertawa,"['tertawa', 'malu', 'banget', 'pesan', 'shopeefood', 'kirim', 'titik', 'udah', 'tutup', 'cabang', 'tertawa']"
"barangkali ada yg tinggal di sekitar daerah pasar rumput manggarai jaksel, boleh diorder ayam bakar mamaku, available on grabfood, gofood, dan shopeefood :D keywordnya Ayam Bakar Mak Tuo Pasar rumput, makan ditempat pun bisa, lokasinya di gedung pasar rumput lt. 3 ruko 20","barangkali ada yg tinggal di sekitar daerah pasar rumput manggarai jaksel, boleh diorder ayam bakar mamaku, available on grabfood, gofood, dan shopeefood :d keywordnya ayam bakar mak tuo pasar rumput, makan ditempat pun bisa, lokasinya di gedung pasar rumput lt. 3 ruko 20",barangkali ada yg tinggal di sekitar daerah pasar rumput manggarai jaksel boleh diorder ayam bakar mamaku available on grabfood gofood dan shopeefood d keywordnya ayam bakar mak tuo pasar rumput makan ditempat pun bisa lokasinya di gedung pasar rumput lt ruko,barangkali tinggal daerah pasar rumput manggarai jaksel diorder ayam bakar mamaku available on grabfood gofood shopeefood keywordnya ayam bakar mak tuo pasar rumput makan ditempat lokasinya gedung pasar rumput lt ruko,"['barangkali', 'tinggal', 'daerah', 'pasar', 'rumput', 'manggarai', 'jaksel', 'diorder', 'ayam', 'bakar', 'mamaku', 'available', 'on', 'grabfood', 'gofood', 'shopeefood', 'keywordnya', 'ayam', 'bakar', 'mak', 'tuo', 'pasar', 'rumput', 'makan', 'ditempat', 'lokasinya', 'gedung', 'pasar', 'rumput', 'lt', 'ruko']",barangkali tinggal daerah pasar rumput manggarai jaksel diorder ayam bakar mamaku available on grabfood gofood shopeefood keywordnya ayam bakar mak tuo pasar rumput makan ditempat lokasinya gedung pasar rumput lantai ruko,"['barangkali', 'tinggal', 'daerah', 'pasar', 'rumput', 'manggarai', 'jaksel', 'order', 'ayam', 'bakar', 'mama', 'available', 'on', 'grabfood', 'gofood', 'shopeefood', 'keywordnya', 'ayam', 'bakar', 'mak', 'tuo', 'pasar', 'rumput', 'makan', 'tempat', 'lokasi', 'gedung', 'pasar', 'rumput', 'lantai', 'ruko']"
Shopeefood adalah penyelamat hidup,shopeefood adalah penyelamat hidup,shopeefood adalah penyelamat hidup,shopeefood penyelamat hidup,"['shopeefood', 'penyelamat', 'hidup']",shopeefood penyelamat hidup,"['shopeefood', 'selamat', 'hidup']"
Baru kali ini deh beli makanan lewat shopeefood zonk. Pesen apa yg dateng apa 😂,baru kali ini deh beli makanan lewat shopeefood zonk. pesen apa yg dateng apa 😂,baru kali ini deh beli makanan lewat shopeefood zonk pesen apa yg dateng apa,kali deh beli makanan shopeefood zonk pesen dateng,"['kali', 'deh', 'beli', 'makanan', 'shopeefood', 'zonk', 'pesen', 'dateng']",kali deh beli makanan shopeefood gagal pesan datang,"['kali', 'deh', 'beli', 'makan', 'shopeefood', 'gagal', 'pesan', 'datang']"
"Hallo @shopeefood_id bgmn sistemnya nih? Masak saya blm terima orderan saya tp di aplikasi dibilang sdh complete dan diminta ratingnya?
Mau saya kasih rating 0 tp gak bisa ...","hallo @shopeefood_id bgmn sistemnya nih? masak saya blm terima orderan saya tp di aplikasi dibilang sdh complete dan diminta ratingnya?
mau saya kasih rating 0 tp gak bisa ...",hallo id bgmn sistemnya nih masak saya blm terima orderan saya tp di aplikasi dibilang sdh complete dan diminta ratingnya mau saya kasih rating tp gak bisa,hallo id bgmn sistemnya masak blm terima orderan tp aplikasi dibilang complete ratingnya kasih rating tp,"['hallo', 'id', 'bgmn', 'sistemnya', 'masak', 'blm', 'terima', 'orderan', 'tp', 'aplikasi', 'dibilang', 'complete', 'ratingnya', 'kasih', 'rating', 'tp']",hallo id bagaimana sistemnya masak belum terima orderan tapi aplikasi dibilang complete ratingnya kasih rating tapi,"['hallo', 'id', 'bagaimana', 'sistem', 'masak', 'belum', 'terima', 'order', 'tapi', 'aplikasi', 'bilang', 'complete', 'ratingnya', 'kasih', 'rating', 'tapi']"
Terbaik gila Shopeefood ni. Murah pun murah. Ngam ngam aku malas masak harini,terbaik gila shopeefood ni. murah pun murah. ngam ngam aku malas masak harini,terbaik gila shopeefood ni murah pun murah ngam ngam aku malas masak harini,terbaik gila shopeefood ni murah murah ngam ngam malas masak harini,"['terbaik', 'gila', 'shopeefood', 'ni', 'murah', 'murah', 'ngam', 'ngam', 'malas', 'masak', 'harini']",terbaik gila shopeefood ini murah murah ngam ngam malas masak harini,"['baik', 'gila', 'shopeefood', 'ini', 'murah', 'murah', 'ngam', 'ngam', 'malas', 'masak', 'harini']"
"tadii ketemu abang shopeefood ganteng bgt huhuu, pen gebet rasanya :)","tadii ketemu abang shopeefood ganteng bgt huhuu, pen gebet rasanya :)",tadii ketemu abang shopeefood ganteng bgt huhuu pen gebet rasanya,tadii ketemu abang shopeefood ganteng bgt huhuu gebet,"['tadii', 'ketemu', 'abang', 'shopeefood', 'ganteng', 'bgt', 'huhuu', 'gebet']",tadii ketemu abang shopeefood ganteng bgt huhuu gebet,"['tadi', 'ketemu', 'abang', 'shopeefood', 'ganteng', 'bgt', 'huhuu', 'gebet']"
Boleh order dengan ShopeeFood dan Grabfood. Order skunk!!! https://t.co/7Jrd2QynLt,boleh order dengan shopeefood dan grabfood. order skunk!!! https://t.co/7jrd2qynlt,boleh order dengan shopeefood dan grabfood order skunk,order shopeefood grabfood order skunk,"['order', 'shopeefood', 'grabfood', 'order', 'skunk']",order shopeefood grabfood order skunk,"['order', 'shopeefood', 'grabfood', 'order', 'skunk']"
Mari ngecek ada grabfood/shopeefood apa yg enak di cikini~,mari ngecek ada grabfood/shopeefood apa yg enak di cikini~,mari ngecek ada grabfoodshopeefood apa yg enak di cikini,mari ngecek grabfoodshopeefood enak cikini,"['mari', 'ngecek', 'grabfoodshopeefood', 'enak', 'cikini']",mari ngecek grabfoodshopeefood enak cikini,"['mari', 'ngecek', 'grabfoodshopeefood', 'enak', 'cikini']"
"JUST HAD APA YA SEMALEM BUT SOKLATTTTTTTTTT still prefer the hot one kemaren coba icednya agak gimana ya, kaya ada lotus lotusnya gitu apa gw cuma kebayang cheesecake lotus I found on shopeefood 🧍 https://t.co/DYMjWS5Isd","just had apa ya semalem but soklatttttttttt still prefer the hot one kemaren coba icednya agak gimana ya, kaya ada lotus lotusnya gitu apa gw cuma kebayang cheesecake lotus i found on shopeefood 🧍 https://t.co/dymjws5isd",just had apa ya semalem but soklatttttttttt still prefer the hot one kemaren coba icednya agak gimana ya kaya ada lotus lotusnya gitu apa gw cuma kebayang cheesecake lotus i found on shopeefood,just had semalem but soklatttttttttt still prefer the hot one kemaren coba icednya gimana kaya lotus lotusnya gitu gw kebayang cheesecake lotus i found on shopeefood,"['just', 'had', 'semalem', 'but', 'soklatttttttttt', 'still', 'prefer', 'the', 'hot', 'one', 'kemaren', 'coba', 'icednya', 'gimana', 'kaya', 'lotus', 'lotusnya', 'gitu', 'gw', 'kebayang', 'cheesecake', 'lotus', 'i', 'found', 'on', 'shopeefood']",just had semalem but soklatttttttttt still prefer the hot one kemaren coba icednya gimana kaya lotus lotusnya gitu saya kebayang cheesecake lotus i found on shopeefood,"['just', 'had', 'semalem', 'but', 'soklatttttttttt', 'still', 'prefer', 'the', 'hot', 'one', 'kemaren', 'coba', 'icednya', 'gimana', 'kaya', 'lotus', 'lotus', 'gitu', 'saya', 'bayang', 'cheesecake', 'lotus', 'i', 'found', 'on', 'shopeefood']"
@ShopeeCare si @gojekindonesia bisa menyelesaikan masalah dalam 2 jam (makanan dikirim lagi dengan extra menu dan refund dari pihak gojek nya juga) knapa shopeefood sampe seminggu ya? Tidak sebaik dan secepat gojek pelayanan nya. Ditambah cs shopee hanya copas copas text saja.,@shopeecare si @gojekindonesia bisa menyelesaikan masalah dalam 2 jam (makanan dikirim lagi dengan extra menu dan refund dari pihak gojek nya juga) knapa shopeefood sampe seminggu ya? tidak sebaik dan secepat gojek pelayanan nya. ditambah cs shopee hanya copas copas text saja.,si bisa menyelesaikan masalah dalam jam makanan dikirim lagi dengan extra menu dan refund dari pihak gojek nya juga knapa shopeefood sampe seminggu ya tidak sebaik dan secepat gojek pelayanan nya ditambah cs shopee hanya copas copas text saja,menyelesaikan jam makanan dikirim extra menu refund gojek knapa shopeefood sampe seminggu secepat gojek pelayanan ditambah cs shopee copas copas text,"['menyelesaikan', 'jam', 'makanan', 'dikirim', 'extra', 'menu', 'refund', 'gojek', 'knapa', 'shopeefood', 'sampe', 'seminggu', 'secepat', 'gojek', 'pelayanan', 'ditambah', 'cs', 'shopee', 'copas', 'copas', 'text']",menyelesaikan jam makanan dikirim extra menu refund gojek knapa shopeefood sampe seminggu secepat gojek pelayanan ditambah cs shopee copas copas text,"['selesai', 'jam', 'makan', 'kirim', 'extra', 'menu', 'refund', 'gojek', 'knapa', 'shopeefood', 'sampe', 'minggu', 'cepat', 'gojek', 'layan', 'tambah', 'cs', 'shopee', 'copas', 'copas', 'text']"
